6,7,6
6,8,5
6,8,6
6,8,7
6,9,7
7,7,5
7,7,6
7,7,7
7,8,5
7,8,6
7,8,7
7,8,8
7,9,5
7,9,6
7,9,7
8,7,5
8,7,6
8,7,7
8,7,8
8,8,5
8,8,6
8,8,7
8,8,8
8,9,5
8,9,6
8,9,7
9,7,5
9,7,6
9,7,7
9,7,8
9,8,4
9,8,5
9,8,6
9,8,7
9,8,8
9,9,4
9,9,5
9,9,6
9,9,7
10,4,6
10,5,5
10,5,6
10,5,7
10,5,8
10,6,4
10,6,5
10,6,6
10,6,7
10,6,8
10,7,3
10,7,4
10,7,5
10,7,6
10,7,7
10,7,8
10,7,9
10,8,3
10,8,4
10,8,5
10,8,6
10,8,7
10,8,8
10,8,9
10,8,10
10,9,4
10,9,5
10,9,6
10,9,7
10,9,8
10,10,4
10,10,5
10,10,6
11,6,5
11,6,6
11,7,5
11,7,6
11,7,7
11,7,8
11,8,4
11,8,5
11,8,6
11,8,7
11,8,8
11,9,4
11,9,5
11,9,6
11,9,7
12,7,5
12,7,6
12,7,7
12,7,8
12,8,4
12,8,5
12,8,6
12,8,7
12,8,8
12,9,4
12,9,5
12,9,6
12,9,7
13,7,5
13,7,6
13,7,7
13,8,4
13,8,5
13,8,6
13,8,7
13,9,5
13,9,6
13,9,7
14,7,6
14,8,5
14,8,6
14,8,7
14,9,5
14,9,6
15,8,7
